,NEIGHBORHOOD,DISTRICT,LATITUDE,LONGITUDE
0,Acton,Antelope Valley,34.46815000000004,-118.19512999999995
1,Adams-Normandie,South L.A.,34.07809005053511,-118.30119989733268
2,Agoura Hills,Santa Monica Mountains,34.14611000000008,-118.77811999999994
3,Agua Dulce,Northwest County,34.495700000000056,-118.32620999999995
4,Alhambra,San Gabriel Valley,34.09370000000007,-118.12726999999995
5,Alondra Park,South Bay,33.88930000000005,-118.33060999999998
6,Altadena,Verdugos,34.185560000000066,-118.13151999999997
7,Angeles Crest,Angeles Forest,34.31158946050125,-118.01113212565828
8,Arcadia,San Gabriel Valley,34.13635000000005,-118.03866999999997
9,Arleta,San Fernando Valley,34.24905000000007,-118.43348999999995
10,Arlington Heights,Central L.A.,34.03989000000007,-118.32541999999995
11,Artesia,Southeast,33.861140000000034,-118.07967999999994
12,Athens,South L.A.,33.930980000000034,-118.29206999999997
13,Atwater Village,Northeast L.A.,34.11970000000008,-118.25886999999994
14,Avalon,Harbor,33.34411000000006,-118.32138999999995
15,Avocado Heights,San Gabriel Valley,34.03597000000008,-117.99057999999997
16,Azusa,San Gabriel Valley,34.13361000000003,-117.90588999999994
17,Baldwin Hills/Crenshaw,South L.A.,34.011569938831634,-118.33646000779022
18,Baldwin Park,San Gabriel Valley,34.08536000000004,-117.96034999999995
19,Bel-Air,Westside,34.08361000000008,-118.43482999999998
20,Bell,Southeast,33.97977000000003,-118.18884999999995
21,Bellflower,Southeast,33.883260000000064,-118.12228999999996
22,Bell Gardens,Southeast,33.96998000000008,-118.14901999999995
23,Beverly Crest,Westside,34.09653268819107,-118.40329514585207
24,Beverly Grove,Central L.A.,34.09544836979449,-118.42608686997163
25,Beverly Hills,Westside,34.07346000000007,-118.40031999999997
26,Beverlywood,Westside,34.05138000000005,-118.40132999999997
27,Boyle Heights,Eastside,34.04004000000003,-118.21049999999997
28,Bradbury,San Gabriel Valley,34.14531000000005,-117.97093999999998
29,Brentwood,Westside,34.06626000000006,-118.47032999999999
30,Broadway-Manchester,South L.A.,33.961029996104934,-118.27831004501087
31,Burbank,San Fernando Valley,34.18182000000007,-118.30775999999997
32,Calabasas,Santa Monica Mountains,34.15778000000006,-118.63841999999994
33,Canoga Park,San Fernando Valley,34.20239000000004,-118.60155999999995
34,Carson,Harbor,33.83161000000007,-118.26208999999994
35,Carthay,Central L.A.,34.17639681534724,-118.22274327896007
36,Castaic,Northwest County,34.49538000000007,-118.62483999999995
37,Castaic Canyons,Northwest County,34.70027257646744,-118.68293292364461
38,Central-Alameda,South L.A.,33.997420000000034,-118.24777999999998
39,Century City,Westside,34.05944000000005,-118.41280999999998
40,Cerritos,Southeast,33.868660000000034,-118.06369999999998
41,Charter Oak,San Gabriel Valley,34.10659000000004,-117.85033999999996
